iter	Passed	Remaining
399	47159	70739
400	47316	70680
401	47525	70697
402	47657	70599
403	47804	70523
404	47923	70406
405	48033	70274
406	48157	70165
407	48306	70092
408	48410	69951
409	48508	69804
410	48611	69664
411	48765	69596
412	48826	69397
413	48921	69246
414	49103	69218
415	49230	69111
416	49357	69006
417	49481	68895
418	49668	68872
419	49905	68916
420	49977	68733
421	50052	68555
422	50114	68359
423	50190	68183
424	50262	68002
425	50344	67834
426	50453	67704
427	50539	67543
428	50633	67393
429	50762	67289
430	50825	67098
431	50924	66956
432	51037	66831
433	51178	66744
434	51356	66704
435	51531	66660
436	51602	66481
437	51721	66364
438	51849	66258
439	51977	66153
440	52070	66003
441	52304	66031
442	52498	66008
443	52596	65863
444	52684	65707
445	52817	65607
446	52964	65524
447	53110	65439
448	53261	65360
449	53529	65424
450	53834	65533
451	54072	65557
452	54302	65570
453	54577	65636
454	54659	65471
455	54727	65289
456	54788	65098
457	54850	64910
458	54927	64740
459	54992	64556
460	55065	64381
461	55132	64202
462	55221	64047
463	55294	63874
464	55363	63697
465	55443	63533
466	55509	63354
467	55580	63180
468	55665	63024
469	55730	62845
470	55803	62674
471	55876	62505
472	55945	62332
473	56011	62156
474	56074	61977
475	56144	61805
476	56213	61634
477	56289	61471
478	56360	61302
479	56446	61149
480	56503	60967
481	56556	60780
482	56611	60596
483	56670	60417
484	56730	60239
485	56786	60058
486	56848	59883
487	56906	59705
488	56961	59524
489	57018	59346
490	57079	59171
491	57140	58998
492	57199	58823
493	57263	58654
494	57324	58482
495	57382	58308
496	57439	58132
497	57494	57956
498	57548	57778
499	57606	57606
500	57662	57432
501	57725	57265
502	57788	57099
503	57848	56930
504	57920	56773
505	57992	56616
506	58060	56457
507	58131	56300
508	58198	56140
509	58285	55999
510	58374	55861
511	58482	55741
512	58644	55672
513	58769	55568
514	59019	55581
515	59076	55412
516	59145	55256
517	59200	55086
518	59256	54917
519	59314	54751
520	59386	54598
521	59451	54440
522	59519	54284
523	59580	54123
524	59647	53966
525	59720	53816
526	59791	53665
527	59867	53518
528	59960	53386
529	60058	53259
530	60198	53169
531	60343	53083
532	60528	53033
533	60661	52936
534	60837	52877
535	60969	52779
536	61132	52708
537	61306	52645
538	61648	52726
539	61760	52610
540	61879	52500
541	62027	52414
542	62155	52311
543	62298	52220
544	62430	52120
545	62573	52029
546	62683	51911
547	62825	51819
548	62964	51724
549	63176	51690
550	63304	51585
551	63386	51444
552	63498	51326
553	63628	51224
554	63829	51178
555	63911	51037
556	63972	50879
557	64028	50717
558	64089	50560
559	64166	50416
560	64269	50292
561	64376	50172
562	64471	50042
563	64608	49945
564	64737	49842
565	64964	49813
566	65127	49735
567	65229	49610
568	65327	49483
569	65435	49363
570	65561	49257
571	65706	49164
572	65768	49010
573	65905	48912
574	66055	48823
575	66124	48675
576	66247	48566
577	66357	48447
578	66478	48337
579	66636	48254
580	66820	48188
581	66958	48090
582	67085	47984
583	67209	47875
584	67352	47779
585	67562	47732
586	67622	47577
587	67688	47428
588	67780	47296
589	67853	47152
590	67938	47016
591	68071	46913
592	68225	46826
593	68343	46713
594	68439	46585
595	68556	46471
596	68678	46360
597	68809	46256
598	68946	46156
599	69074	46049
600	69187	45932
601	69311	45824
602	69451	45724
603	69586	45622
604	69710	45513
605	69830	45401
606	69948	45288
607	70073	45178
608	70239	45096
609	70378	44996
610	70485	44875
611	70593	44755
612	70724	44649
613	70946	44601
614	71017	44458
615	71072	44304
616	71130	44154
617	71189	44003
618	71251	43855
619	71308	43705
620	71367	43556
621	71423	43405
622	71474	43251
623	71527	43100
624	71585	42951
625	71642	42802
626	71698	42652
627	71754	42504
628	71813	42357
629	71868	42208
630	71937	42068
631	72000	41924
632	72064	41781
633	72122	41635
634	72186	41493
635	72266	41359
636	72357	41233
637	72428	41095
638	72509	40963
639	72587	40830
640	72655	40691
641	72747	40566
642	72850	40447
643	72962	40333
644	73236	40308
645	73410	40227
646	73666	40192
647	73722	40046
648	73783	39904
649	73858	39770
650	73935	39636
651	74025	39510
652	74200	39429
653	74304	39311
654	74473	39226
655	74605	39122
656	74779	39040
657	74898	38929
658	75024	38821
659	75166	38721
660	75300	38618
661	75418	38506
662	75550	38402
663	75668	38290
664	75824	38197
665	75985	38106
666	76116	38001
667	76242	37892
668	76318	37759
669	76503	37680
670	76663	37589
671	76767	37469
672	76891	37360
673	77007	37247
674	77147	37144
675	77386	37090
676	77445	36949
677	77523	36818
678	77585	36679
679	77649	36540
680	77715	36404
681	77801	36276
682	77878	36145
683	77970	36021
684	78155	35940
685	78283	35832
686	78407	35722
687	78567	35629
688	78812	35574
689	78999	35492
690	79117	35379
691	79246	35271
692	79430	35187
693	79601	35098
694	79757	35001
695	79993	34939
696	80146	34841
697	80357	34767
698	80423	34631
699	80540	34517
700	80628	34390
701	80719	34265
702	80907	34181
703	81014	34062
704	81131	33948
705	81273	33844
706	81413	33739
707	81542	33630
708	81695	33530
709	81814	33417
710	81953	33311
711	82078	33200
712	82144	33065
713	82255	32948
714	82557	32907
715	82744	32820
716	82872	32709
717	83069	32626
718	83224	32525
719	83300	32394
720	83489	32307
721	83695	32226
722	83857	32127
723	84112	32064
724	84183	31931
725	84240	31793
726	84293	31653
727	84352	31516
728	84407	31377
729	84463	31239
730	84523	31103
731	84600	30973
732	84669	30841
733	84737	30708
734	84808	30577
735	84871	30443
736	84947	30313
737	85018	30182
738	85094	30053
739	85156	29919
740	85212	29784
741	85271	29649
742	85332	29516
743	85392	29382
744	85450	29247
745	85520	29118
746	85583	28985
747	85641	28852
748	85700	28719
749	85772	28590
750	85858	28467
751	85922	28336
752	85983	28204
753	86052	28075
754	86118	27945
755	86197	27820
756	86281	27696
757	86363	27572
758	86445	27448
759	86532	27326
760	86608	27200
761	86732	27089
762	86860	26980
763	86962	26862
764	87086	26752
765	87276	26661
766	87428	26559
767	87666	26482
768	87729	26353
769	87790	26223
770	87858	26095
771	87920	25966
772	87987	25838
773	88050	25709
774	88115	25582
775	88176	25453
776	88233	25323
777	88292	25194
778	88359	25067
779	88426	24940
780	88491	24813
781	88557	24687
782	88648	24567
783	88749	24451
784	88866	24339
785	89009	24234
786	89222	24148
787	89425	24058
788	89609	23963
789	89743	23855
790	89964	23770
791	90290	23712
792	90482	23618
793	90668	23523
794	91029	23473
795	91099	23346
796	91157	23218
797	91215	23089
798	91271	22960
799	91324	22831
800	91404	22708
801	91463	22580
802	91529	22455
803	91594	22328
804	91656	22202
805	91712	22074
806	91779	21949
807	91846	21824
808	91904	21698
809	91975	21574
810	92052	21452
811	92156	21336
812	92230	21214
813	92320	21095
814	92400	20974
815	92465	20850
816	92667	20756
817	92799	20647
818	92887	20528
819	92947	20403
820	93007	20278
821	93066	20153
822	93127	20028
823	93186	19903
824	93244	19779
825	93300	19654
826	93359	19529
827	93413	19404
828	93470	19280
829	93538	19158
830	93613	19038
831	93688	18917
832	93754	18795
833	93823	18674
834	93886	18552
835	93944	18429
836	94007	18307
837	94079	18187
838	94169	18070
839	94233	17949
840	94298	17828
841	94364	17707
842	94427	17586
843	94494	17465
844	94567	17346
845	94682	17235
846	94807	17125
847	94884	17007
848	94950	16887
849	95019	16768
850	95083	16648
851	95136	16526
852	95196	16405
853	95255	16284
854	95312	16164
855	95369	16043
856	95422	15922
857	95478	15801
858	95538	15682
859	95604	15563
860	95664	15444
861	95722	15324
862	95774	15204
863	95829	15084
864	95889	14965
865	95947	14846
866	96005	14727
867	96066	14609
868	96127	14491
869	96186	14372
870	96248	14254
871	96305	14136
872	96358	14017
873	96410	13899
874	96470	13781
875	96529	13664
876	96584	13546
877	96645	13429
878	96699	13311
879	96743	13192
880	96897	13088
881	96976	12974
882	97034	12857
883	97093	12740
884	97152	12624
885	97224	12509
886	97290	12394
887	97358	12279
888	97610	12187
889	97678	12072
890	97769	11960
891	97876	11850
892	97942	11735
893	98013	11621
894	98067	11505
895	98122	11389
896	98181	11273
897	98240	11158
898	98303	11044
899	98355	10928
900	98409	10813
901	98471	10698
902	98523	10583
903	98574	10468
904	98625	10352
905	98676	10237
906	98726	10122
907	98776	10008
908	98825	9893
909	98872	9778
910	98919	9663
911	98969	9549
912	99020	9435
913	99080	9322
914	99147	9210
915	99197	9096
916	99251	8983
917	99310	8870
918	99360	8757
919	99411	8644
920	99458	8531
921	99509	8418
922	99557	8305
923	99605	8192
924	99656	8080
925	99708	7968
926	99759	7855
927	99844	7746
928	99911	7635
929	99992	7526
930	100067	7416
931	100125	7305
932	100195	7195
933	100261	7084
934	100362	6977
935	100442	6867
936	100545	6760
937	100643	6652
938	100769	6546
939	100879	6439
940	100953	6329
941	101036	6220
942	101103	6111
943	101192	6002
944	101256	5893
945	101319	5783
946	101385	5674
947	101449	5564
948	101512	5455
949	101576	5346
950	101638	5236
951	101700	5127
952	101761	5018
953	101835	4910
954	101900	4801
955	101958	4692
956	102019	4583
957	102143	4478
958	102215	4369
959	102352	4264
960	102446	4157
961	102554	4051
962	102724	3946
963	102834	3840
964	103004	3735
965	103093	3628
966	103231	3522
967	103358	3416
968	103492	3310
969	103580	3203
970	103723	3097
971	103842	2991
972	103925	2883
973	103993	2775
974	104060	2668
975	104122	2560
976	104182	2452
977	104242	2344
978	104303	2237
979	104365	2129
980	104428	2022
981	104511	1915
982	104600	1808
983	104685	1702
984	104760	1595
985	104845	1488
986	104928	1382
987	104998	1275
988	105066	1168
989	105144	1062
990	105213	955
991	105281	849
992	105344	742
993	105406	636
994	105460	529
995	105524	423
996	105582	317
997	105636	211
998	105693	105
999	105754	0
