iter	MultiClass
0	2.489517766
1	2.136454628
2	1.88679922
3	1.69587117
4	1.527471671
5	1.405552923
6	1.292540458
7	1.188209201
8	1.088590302
9	1.004048474
10	0.9319218658
11	0.8710494619
12	0.8133435423
13	0.7589510231
14	0.7069833156
15	0.6631593642
16	0.6251397555
17	0.5898002225
18	0.5559374883
19	0.5256502289
20	0.4974957705
21	0.4696632267
22	0.4465159613
23	0.4259997543
24	0.4035451347
25	0.3862756489
26	0.3683476802
27	0.3521428425
28	0.3382803439
29	0.3224409229
30	0.3091605342
31	0.297265374
32	0.2860115603
33	0.2746808611
34	0.2653557282
35	0.2544444252
36	0.2458956746
37	0.2367168173
38	0.2281720699
39	0.2211855833
40	0.2133301575
41	0.2074120198
42	0.2001224055
43	0.1926364325
44	0.1861363981
45	0.1807319299
46	0.1758862417
47	0.1710907623
48	0.1662019337
49	0.1610563451
50	0.1569051984
51	0.1525113641
52	0.1492290142
53	0.1448034162
54	0.1414855203
55	0.13763041
56	0.1344155185
57	0.1316678809
58	0.127617584
59	0.1243338428
60	0.1214859607
61	0.118900022
62	0.1164147817
63	0.1135827896
64	0.1109836018
65	0.1085782449
66	0.1055875333
67	0.1032864791
68	0.1011916403
69	0.09936067074
70	0.0977707828
71	0.09620238052
72	0.09432345819
73	0.09232312943
74	0.09091870992
75	0.08971113726
76	0.08816201745
77	0.0867780637
78	0.085408649
79	0.08401979394
80	0.08298006889
81	0.08182542817
82	0.08042991868
83	0.07930528496
84	0.07822454287
85	0.07662860831
86	0.07522523962
87	0.07432245537
88	0.07318014622
89	0.07194128831
90	0.07063137097
91	0.06928205051
92	0.06808595656
93	0.06688016918
94	0.06578719045
95	0.06493048057
96	0.06388429362
97	0.06292959588
98	0.0616154967
99	0.06072965406
100	0.06012581409
101	0.05928239222
102	0.05865560075
103	0.05803204608
104	0.05720876301
105	0.05642191419
106	0.05590111523
107	0.05499977247
108	0.05416925516
109	0.05350422666
110	0.0530782275
111	0.05262063174
112	0.05208479921
113	0.05152200697
114	0.05102707046
115	0.05047004176
116	0.05002546251
117	0.04927451993
118	0.04874820308
119	0.04824020816
120	0.04782453251
